info: May-06-2023 05:50:46: 	Database connection established.
info: May-06-2023 05:50:53: 	Server started on port 3000
info: May-06-2023 05:50:54: 	Database connection established.
info: May-06-2023 05:52:48: 	Server started on port 3000
info: May-06-2023 05:52:49: 	Database connection established.
info: May-06-2023 05:56:37: 	Server started on port 3000
info: May-06-2023 05:56:37: 	Database connection established.
info: May-06-2023 05:56:42: 	Server started on port 3000
info: May-06-2023 05:56:42: 	Database connection established.
info: May-06-2023 05:57:46: 	Server started on port 3000
info: May-06-2023 05:57:46: 	Database connection established.
info: May-06-2023 05:57:59: 	Server started on port 3000
info: May-06-2023 05:57:59: 	Database connection established.
info: May-06-2023 06:01:41: 	Server started on port 3000
info: May-06-2023 06:01:41: 	Database connection established.
info: May-06-2023 06:02:52: 	Server started on port 3000
info: May-06-2023 06:02:52: 	Database connection established.
info: May-06-2023 06:04:21: 	/sign/in - User 1 logged in
info: May-06-2023 06:04:44: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:04:44: 	get/admin/users - (User 1 got all users)
info: May-06-2023 06:04:48: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:04:48: 	get/admin/users/:id - (User 1 got user 1)
info: May-06-2023 06:04:50: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:04:54: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:04:57: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:05:04: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:05:06: 	/admin/sign/up - User 16 created successfully by user 1
info: May-06-2023 06:05:15: 	User 1 (admin) authenticated successfully
error: May-06-2023 06:05:15: 	post/admin/products - (User 1 creating a product) - Error (500): host is not defined
info: May-06-2023 06:06:30: 	Server started on port 3000
info: May-06-2023 06:06:30: 	Database connection established.
info: May-06-2023 06:06:33: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:07:04: 	Server started on port 3000
info: May-06-2023 06:07:04: 	Database connection established.
info: May-06-2023 06:07:07: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:07:07: 	post/admin/products - (User 1 created product undefined
info: May-06-2023 06:07:22: 	User 1 (admin) authenticated successfully
error: May-06-2023 06:07:23: 	put/admin/users/:id - (User 1 updating user 2) - Error (500): llave duplicada viola restricción de unicidad «users_user_name_key»
info: May-06-2023 06:07:46: 	Server started on port 3000
info: May-06-2023 06:07:46: 	Database connection established.
info: May-06-2023 06:07:57: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:07:58: 	put/admin/users/:id - (User 1 updated user 2)
info: May-06-2023 06:08:12: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:08:15: 	User 1 (admin) authenticated successfully
error: May-06-2023 06:08:15: 	put/admin/products/:id - (User 1 update product 1) - Error (500): prod_stock is not defined
info: May-06-2023 06:09:21: 	User 1 (admin) authenticated successfully
error: May-06-2023 06:09:22: 	put/admin/products/:id - (User 1 update product 1) - Error (500): prod_stock is not defined
info: May-06-2023 06:09:55: 	Server started on port 3000
info: May-06-2023 06:09:55: 	Database connection established.
info: May-06-2023 06:09:57: 	User 1 (admin) authenticated successfully
error: May-06-2023 06:09:57: 	put/admin/products/:id - (User 1 update product 1) - Error (500): prod_stock is not defined
info: May-06-2023 06:23:27: 	Server started on port 3000
info: May-06-2023 06:23:27: 	Database connection established.
info: May-06-2023 06:23:29: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:23:52: 	Server started on port 3000
info: May-06-2023 06:23:52: 	Database connection established.
info: May-06-2023 06:25:04: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:04: 	put/admin/products/:id - (User 1 updated product 1)
info: May-06-2023 06:25:16: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:29: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:35: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:38: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:42: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:46: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:25:46: 	get/admin/users - (User 1 got all users)
info: May-06-2023 06:25:55: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:28:12: 	Server started on port 3000
info: May-06-2023 06:28:12: 	Database connection established.
info: May-06-2023 06:28:17: 	User 1 (admin) authenticated successfully
info: May-06-2023 06:28:17: 	post/admin/products - (User 1 created product 2
info: May-06-2023 06:28:38: 	Server started on port 3000
info: May-06-2023 06:28:38: 	Database connection established.
info: May-07-2023 05:45:43: 	Server started on port 3000
info: May-07-2023 05:45:44: 	Database connection established.
info: May-07-2023 05:45:50: 	/sign/in - User 1 logged in
info: May-07-2023 05:46:53: 	Server started on port 3000
info: May-07-2023 05:46:53: 	Database connection established.
info: May-07-2023 05:47:02: 	/sign/in - User 1 logged in
{"level":"info","message":"Server started on port 3000","timestamp":"2023-05-07T08:50:01.528Z"}
{"level":"info","message":"Database connection established.","timestamp":"2023-05-07T08:50:01.777Z"}
{"level":"info","message":"Server started on port 3000","timestamp":"2023-05-07T08:50:15.721Z"}
{"level":"info","message":"Database connection established.","timestamp":"2023-05-07T08:50:16.075Z"}
